"staAmp","spdFac","movVel","sacDur","direction","time_between","time_between_sd","N","time_between_se","movVelAbs","assumedDist","assumed_time_between"
6,0.66667,239.44,0.0392,"1",12.5353370126714,0.15961967694245,16,0.0399049192356125,159.6274648,2,12.5291722355287
6,0.66667,239.44,0.0392,"2",12.5705564152396,0.251060072933833,16,0.0627650182334582,159.6274648,2,12.5291722355287
6,0.8,239.44,0.0392,"1",10.6770905318602,0.300503506116092,16,0.0751258765290229,191.552,2,10.4410290678249
6,0.8,239.44,0.0392,"2",10.5096543581448,0.173786197723002,16,0.0434465494307505,191.552,2,10.4410290678249
6,1,239.44,0.0392,"1",8.62257498744713,0.337039312424406,16,0.0842598281061015,239.44,2,8.35282325425994
6,1,239.44,0.0392,"2",8.42922985189366,0.379819534201959,16,0.0949548835504897,239.44,2,8.35282325425994
6,1.25,239.44,0.0392,"1",6.75292366724282,0.164794974750189,16,0.0411987436875473,299.3,2,6.68225860340795
6,1.25,239.44,0.0392,"2",6.88081106424947,0.267143568878413,16,0.0667858922196031,299.3,2,6.68225860340795
8,0.25,286.54,0.0446,"1",28.3632427176187,0.419994684929201,23,0.087574945635098,71.635,2,27.9193131848956
8,0.25,286.54,0.0446,"2",28.3311410163961,0.523148906792111,23,0.109084087764356,71.635,2,27.9193131848956
8,0.33333,286.54,0.0446,"1",21.2734704662986,0.413348121994296,24,0.0843743320853098,95.5123782,2,20.9396942856146
8,0.33333,286.54,0.0446,"2",21.2624330875024,0.251259758814337,23,0.0523912813852934,95.5123782,2,20.9396942856146
8,0.5,286.54,0.0446,"1",14.2143353774304,0.248239011893439,23,0.0517614121110678,143.27,2,13.9596565924478
8,0.5,286.54,0.0446,"2",14.2696561046713,0.310809665121963,25,0.0621619330243926,143.27,2,13.9596565924478
8,0.66667,286.54,0.0446,"1",10.8797961050975,0.24331268923177,24,0.0496659947135176,191.0276218,2,10.4696900958854
8,0.66667,286.54,0.0446,"2",10.9358849835863,0.207038894542324,24,0.0422616373782159,191.0276218,2,10.4696900958854
8,0.8,286.54,0.0446,"1",8.92883850349028,0.213162770521898,24,0.0435116683280527,229.232,2,8.72478537027989
8,0.8,286.54,0.0446,"2",8.97502584327588,0.217473071045457,24,0.0443915047381171,229.232,2,8.72478537027989
8,1,286.54,0.0446,"1",7.20250892501001,0.204829533001863,21,0.0446974685496901,286.54,2,6.97982829622391
8,1,286.54,0.0446,"2",7.18115386333184,0.187907287555532,25,0.0375814575111064,286.54,2,6.97982829622391
8,1.25,286.54,0.0446,"1",5.83415294232339,0.193523941956594,23,0.0403525313630945,358.175,2,5.58386263697913
8,1.25,286.54,0.0446,"2",5.69085697383838,0.129769395224374,24,0.02648906687744,358.175,2,5.58386263697913
10,0.25,323.1,0.05,"1",25.6026508928364,0.44356109943729,16,0.110890274859323,80.775,2,24.760136180749
10,0.25,323.1,0.05,"2",25.9285765865603,0.768150454620618,16,0.192037613655154,80.775,2,24.760136180749
10,0.33333,323.1,0.05,"1",19.3656564272655,0.428992101944758,16,0.10724802548619,107.698923,2,18.5702878384401
10,0.33333,323.1,0.05,"2",19.0594217666002,0.259454471453282,16,0.0648636178633204,107.698923,2,18.5702878384401
10,0.5,323.1,0.05,"1",12.7874375890069,0.38039174826068,16,0.0950979370651699,161.55,2,12.3800680903745
10,0.5,323.1,0.05,"2",12.7140687257544,0.262013882740014,16,0.0655034706850036,161.55,2,12.3800680903745
10,0.66667,323.1,0.05,"1",9.72224063561533,0.299200029812872,16,0.074800007453218,215.401077,2,9.28500464275766
10,0.66667,323.1,0.05,"2",9.80844949340069,0.323894607653167,16,0.0809736519132917,215.401077,2,9.28500464275766
10,0.8,323.1,0.05,"1",8.25242370935311,0.298376624502552,16,0.0745941561256381,258.48,2,7.73754255648406
10,0.8,323.1,0.05,"2",8.1987114307383,0.260228919569023,16,0.0650572298922557,258.48,2,7.73754255648406
10,1,323.1,0.05,"1",6.37737861120497,0.145914906061667,16,0.0364787265154167,323.1,2,6.19003404518725
